Removed duplicates of file with Size: 123.511.024 bytes; 

$awk '!seen[$0]++' boot_success_b0x2f000000_addr_output_bigger.txt > boot_success_b0x2f000000_addr_output_bigger_cleaned.txt

This Files shows 'all' reads and writes during boot process that are:
> 0x2f000000

Beforehand it was observed that addresses from somewhere in that range are readed during the boot process, w/o beeing written from qemu;
By excluding certain addresses, it was possible to finally boot the kernel again with activated encryption;


~ [No Crypt] addr: 3fa4b958; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b814; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4985c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49850; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b838; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a14; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b830; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b82c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc08; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49860; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b948; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b94c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb9c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b934; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b930; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a9c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b9f4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b954; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a44; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49880; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49864; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b944; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b93c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b940; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b938; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b950; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4baa4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49aa0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b960; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa499e8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a18; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a48; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ba5c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ba58; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bbfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ba88; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b818; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b81c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b810; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bbf0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b978; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bab8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bbac; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b914; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b92c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b880; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b884; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b968; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bbe0; size: 4; type mem_op_read;
