Removed duplicates of file with Size: 1,4 GB

$awk '!seen[$0]++' boot_success_addr_output_complete.txt > boot_success_addr_output_complete_cleaned.txt


This Files shows 'all' reads and writes during boot process in the following address range:
addr > 0x2f000000 || addr < 0x84F0992

This are all reads/writes that occur during boot process w/o duplicates;
It seems to oscillate between the small addresses near the roms, the higher addresses that are not written by QEMU writes and the rootfs image file.


[TRACE]:


~ [No Crypt] addr: 80bf010; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfe3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfbdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfbc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfbb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bf018; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfbfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bf01c; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bf000; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffdbf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfbf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfbe0; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bc000; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a94; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bedbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be60; size: 4; type mem_op_read;
~ [No Crypt] addr: 80befa8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ab1c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bda0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be5c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be00; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be08; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bda4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bda8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be10; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49840; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be04; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a90; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdac; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdd8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bddc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be18; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be54; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bde0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bde8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be14; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdd4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49848; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdf8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be50; size: 4; type mem_op_read;
